Event Date,Administrator,Program,Start Time,End Time,Event Duration,Zone/Network,Event/Test,Event Type
6/8/2011,Con Edison,DLC,15:00,16:00,1:00,All,Test,
6/8/2011,Con Edison,DLRP,15:00,16:00,1:00,All,Test,
6/8/2011,Con Edison,RSAP,16:00,17:00,1:00,Zone J,Test,
6/9/2011,Con Edison,CSRP,14:00,15:00,1:00,All,Test,
6/9/2011,Con Edison,CSRP,17:00,18:00,1:00,All,Test,
7/19/2011,NYISO,SCR (ICAP),15:00,16:00,1:00,Zones H I,Test,
7/19/2011,NYISO,SCR (ICAP),16:00,17:00,1:00,Zone J,Test,
7/21/2011,Con Edison,DLC,13:00,18:00,5:00,All,Event,
7/21/2011,Con Edison,RSAP,11:00,19:00,8:00,Zone J,Event,
7/21/2011,Con Edison,CSRP-Day,12:00,17:00,5:00,All,Event,
7/21/2011,Con Edison,CSRP-Night,17:00,22:00,5:00,All,Event,
7/21/2011,NYISO,SCR (ICAP),13:00,18:00,5:00,All,Event,
7/21/2011,NYISO,EDRP,13:00,18:00,5:00,All,Event,
7/22/2011,Con Edison,DLC,7:00,15:00,8:00,Elmsford,Event,
7/22/2011,Con Edison,DLC,7:00,15:00,8:00,Maspeth,Event,
7/22/2011,Con Edison,DLC,18:00,23:00,5:00,Richmond Hill,Event,
7/22/2011,Con Edison,DLC,18:00,23:00,5:00,Fox Hills,Event,
7/22/2011,Con Edison,DLC,18:00,23:00,5:00,Ossining West,Event,
7/22/2011,Con Edison,DLC,18:00,23:00,5:00,Sheepshead Bay,Event,
7/22/2011,Con Edison,DLC,19:31,23:00,3:29,Granite Hill,Event,
7/22/2011,Con Edison,DLC,20:19,23:00,2:41,Buchanan,Event,
7/22/2011,Con Edison,DLC,21:03,6:00,8:57,Ridgewood,Event,
7/22/2011,Con Edison,DLC,21:03,6:00,8:57,Rego Park,Event,
7/22/2011,Con Edison,CSRP-Day,12:00,17:00,5:00,All,Event,
7/22/2011,Con Edison,CSRP-Night,17:00,22:00,5:00,All,Event,
7/22/2011,Con Edison,DLRP,7:00,15:00,8:00,Elmsford,Event,
7/22/2011,Con Edison,DLRP,7:00,15:00,8:00,Maspeth,Event,
7/22/2011,Con Edison,DLRP,18:00,23:00,5:00,Richmond Hill,Event,
7/22/2011,Con Edison,DLRP,18:00,23:00,5:00,Fox Hills,Event,
7/22/2011,Con Edison,DLRP,18:00,23:00,5:00,Sheepshead Bay,Event,
7/22/2011,Con Edison,DLRP,19:31,23:00,3:29,Granite Hill,Event,
7/22/2011,Con Edison,DLRP,20:19,23:00,2:41,Buchanan,Event,
7/22/2011,Con Edison,DLRP,21:03,6:00,8:57,Ridgewood,Event,
7/22/2011,Con Edison,DLRP,21:03,6:00,8:57,Rego Park,Event,
7/22/2011,NYISO,SCR (ICAP),12:00,18:00,6:00,Zone J,Event,
7/22/2011,NYISO,EDRP,12:00,18:00,6:00,Zone J,Event,
7/22/2011,NYISO,SCR (ICAP),13:00,18:00,5:00,Zones H I,Event,
7/22/2011,NYISO,EDRP,13:00,18:00,5:00,Zones H I,Event,
7/30/2011,Con Edison,DLRP,12:00,0:00,12:00,Central Park,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Brighton Beach,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Flatbush,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Ocean Parkway,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Park Slope,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Sheepshead Bay,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Beekman,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Maspeth,Event,
7/17/2012,Con Edison,DLC,17:00,22:00,5:00,Sunnyside,Event,
7/17/2012,NYISO,TDRP,18:00,23:00,5:00,Zone J3,Event,
7/17/2012,Con Edison,Modlet,17:00,22:00,5:00,Zone J,Event,
7/18/2012,Con Edison,DLRP,7:09,15:00,7:51,Sutton,Event,
7/18/2012,Con Edison,CSRP-Day,12:00,17:00,5:00,All,Event,
7/18/2012,Con Edison,CSRP-Night,17:00,22:00,5:00,All,Event,
7/18/2012,Con Edison,RSAP,17:00,22:00,5:00,Zone J,Event,
7/18/2012,Con Edison,DLRP,17:09,0:30,7:21,Ocean Parkway,Event,
7/18/2012,NYISO,SCR,14:10,18:00,3:50,Zones G H I K,Event,
7/18/2012,NYISO,SCR,13:00,18:00,5:00,Zone J,Event,
7/18/2012,NYISO,TDRP,18:00,22:00,4:00,Zone J3,Event,
8/2/2012,Con Edison,DLRP,12:00,17:00,5:00,Riverdale,Event,
8/2/2012,NYISO,SCR,16:00,17:00,1:00,Zones E F G H I,Test,
8/2/2012,NYISO,SCR,17:00,18:00,1:00,Zone JK,Test,
