Borough,Network,Start Time,End Time,Tier
Bronx,Bronx CENTRAL BRONX 2:00 PM – 6:00 PM,,,2
Bronx,Bronx FORDHAM 4:00 PM – 8:00 PM,,,2
Bronx,Bronx NORTHEAST BRONX 4:00 PM – 8:00 PM,,,2
Bronx,Bronx RIVERDALE 4:00 PM – 8:00 PM,,,1
Bronx,Bronx SOUTHEAST BRONX 4:00 PM – 8:00 PM,,,2
Bronx,Bronx WEST BRONX 4:00 PM – 8:00 PM,,,2
Brooklyn,Brooklyn BAY RIDGE 2:00 PM – 6:00 PM,,,1
Brooklyn,Brooklyn BOROUGH HALL 2:00 PM – 6:00 PM,,,2
Brooklyn,Brooklyn BRIGHTON BEACH 2:00 PM – 6:00 PM,,,1
Brooklyn,Brooklyn CROWN HEIGHTS 4:00 PM – 8:00 PM,,,1
Brooklyn,Brooklyn FLATBUSH 4:00 PM – 8:00 PM,,,1
Brooklyn,Brooklyn OCEAN PARKWAY 2:00 PM – 6:00 PM,,,2
Brooklyn,Brooklyn PARK SLOPE 2:00 PM – 6:00 PM,,,1
Brooklyn,Brooklyn PROSPECT PARK 4:00 PM – 8:00 PM,,,1
Brooklyn,Brooklyn RIDGEWOOD 4:00 PM – 8:00 PM,,,2
Brooklyn,Brooklyn SHEEPSHEAD BAY 4:00 PM – 8:00 PM,,,1
Brooklyn,Brooklyn WILLIAMSBURG 2:00 PM – 6:00 PM,,,2
Manhattan,Manhattan BATTERY PARK CITY 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan BEEKMAN 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan BOWLING GREEN 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan CANAL 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan CENTRAL PARK 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan CHELSEA 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan CITY HALL 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan COLUMBUS CIRCLE 4:00 PM – 8:00 PM,,,1
Manhattan,Manhattan COOPER SQUARE 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan CORTLANDT 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan EMPIRE 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan FASHION 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan FREEDOM 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan FULTON 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan GRAND CENTRAL 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan GREELEY SQUARE 11:00 AM – 3:00 PM,,,1
Manhattan,Manhattan GREENWICH 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan HARLEM 2:00 PM – 6:00 PM,,,1
Manhattan,Manhattan HERALD SQUARE 11:00 AM – 3:00 PM,,,1
