Make,Model,Battery Wh,Max PV Watts,W to Wh Ratio,Min PV Voltage,Max PV Voltage,Max PV Amps,Inverter Watts,Max AC Input Amps,Max AC Input Watts,Grid Charge Hours,Inverter Efficiency,Battery Type,Retail Price (11/12/2023),Price per Wh (11/12/2023),Full Price (11/20/2023),Price per Wh (11/20/2023),Retail Price (12/30/2023),Price per Wh (12/30/2023),Bypass Mode,App Control,Unregulated Output,Warranty Years,Cycles,DoD,Lifespan,Link
Jackery,Explorer 300 Plus,288,100,0.3472222222,12,27,5,300,5,100,2.56,85,LiFePO4,254,0.88,299.99,1.04,299.99,1.04,TRUE,TRUE,FALSE,5,3000,80,10,https://www.jackery.com/products/jackery-explorer-300-plus-portable-power-station
Jackery,Explorer 700 Plus,680.96,600,0.8811090226,12,60,11,1000,15,1800,0.3362765432,85,LiFePO4,399,0.59,799,1.17,799.00,1.17,FALSE,TRUE,FALSE,5,4000,70,,https://www.jackery.com/products/jackery-explorer-700-plus-portable-power-station
Jackery,Explorer 1000 Plus,1264.64,800,0.6325910931,12,60,22,2000,15,1800,0.6245135802,85,LiFePO4,899.00,0.71,1199,0.95,1199,0.95,TRUE,TRUE,FALSE,5,4000,70,,https://www.jackery.com/products/jackery-explorer-1000-plus-portable-power-station?variant=40233095135319
Jackery,Explorer 2000 Plus,2042.8,1400,0.6853338555,17.5,60,24,3000,15,1800,1.008790123,85,LiFePO4,1659.00,0.81,2199,1.08,2199,1.08,TRUE,TRUE,FALSE,5,4000,70,,https://www.jackery.com/products/explorer-2000-plus-portable-power-station
Pecron,E600LFP,614,400,0.651465798,12,18,7,1200,,,#DIV/0!,85,LiFePO4,299.00,0.49,499,0.81,299.00,0.49,FALSE,FALSE,FALSE,2,3500,80,,https://www.pecron.com/products/pecron-e600lfp-1200w-portable-power-station-lifepo4
Pecron,E1500LFP Expandable,1536,800,0.5208333333,12,18,7,2200,,,#DIV/0!,85,LiFePO4,899.00,0.59,1299,0.85,899.00,0.59,FALSE,FALSE,FALSE,2,3500,80,,https://www.pecron.com/products/pecron-e1500lfp-expandable-power-station-2200w-1536wh
Pecron,E2000LFP Expandable,1920,1200,0.625,12,18,7,2000,,,#DIV/0!,85,LiFePO4,899.00,0.47,1499,0.78,899.00,0.47,FALSE,FALSE,FALSE,2,3500,80,,https://www.pecron.com/products/pecron-e2000lfp-portable-power-station
BougeRv,FORT 1000,1120,200,0.1785714286,12,30,8,1200,,,#DIV/0!,,LiFePO4,1159.98,1.04,1159.98,1.04,999.99,0.89,FALSE,FALSE,FALSE,7,3500,80,,https://www.bougerv.com/products/fort-1000-portable-power-station
BougeRv,FORT 1500,1456,400,0.2747252747,12,45,12,2200,,,#DIV/0!,,LiFePO4,2099.99,1.44,2099.99,1.44,1499.99,1.03,FALSE,FALSE,FALSE,7,3500,80,,https://www.bougerv.com/products/fort-1500-portable-power-station
Lion Energy,Safari,1612,600,0.3722084367,24,60,25,3000,,,#DIV/0!,92,LiFePO4,1699.00,1.05,1699,1.05,1699.00,1.05,FALSE,FALSE,FALSE,5,3500,80,,https://lionenergy.com/products/lion-safari
