Date,Max T,Min T,Ave T,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2022,53,48,50.5,15.9,14,0,1.22,0,0
1/2/2022,59,38,48.5,14.1,16,0,0.03,0,0
1/3/2022,39,22,30.5,-3.7,34,0,0,0,0
1/4/2022,33,19,26,-8,39,0,0,0,0
1/5/2022,46,30,38,4.1,27,0,0.29,T,0
1/6/2022,41,34,37.5,3.8,27,0,0,0,0
1/7/2022,35,25,30,-3.5,35,0,0.31,6.2,6
1/8/2022,31,21,26,-7.4,39,0,0,0,5
1/9/2022,41,29,35,1.8,30,0,0.12,0,3
1/10/2022,41,25,33,-0.1,32,0,0,0,0
1/11/2022,25,14,19.5,-13.5,45,0,T,T,0
1/12/2022,41,15,28,-4.9,37,0,0,0,0
1/13/2022,49,28,38.5,5.8,26,0,0,0,0
1/14/2022,45,21,33,0.4,32,0,0,0,0
1/15/2022,21,11,16,-16.6,49,0,0,0,0
1/16/2022,42,9,25.5,-7,39,0,0.53,0.1,0
1/17/2022,46,35,40.5,8.1,24,0,0.92,T,0
1/18/2022,39,24,31.5,-0.8,33,0,0,0,0
1/19/2022,50,22,36,3.7,29,0,0,0,0
1/20/2022,45,21,33,0.8,32,0,0.25,0.1,0
1/21/2022,24,14,19,-13.2,46,0,0,0,0
1/22/2022,32,14,23,-9.2,42,0,0,0,0
1/23/2022,37,24,30.5,-1.7,34,0,T,0.1,0
1/24/2022,38,28,33,0.8,32,0,T,0.1,0
1/25/2022,44,29,36.5,4.3,28,0,0,0,0
1/26/2022,29,18,23.5,-8.7,41,0,0,0,0
1/27/2022,32,13,22.5,-9.7,42,0,0,0,0
1/28/2022,35,29,32,-0.3,33,0,0.12,1.9,0
1/29/2022,29,12,20.5,-11.8,44,0,0.58,9.3,5
1/30/2022,25,12,18.5,-13.9,46,0,0,0,10
1/31/2022,32,16,24,-8.5,41,0,0,0,9
2/1/2022,38,18,28,-4.5,37,0,0,0,8
2/2/2022,45,28,36.5,3.9,28,0,0,0,7
2/3/2022,46,37,41.5,8.8,23,0,0.33,0,2
2/4/2022,49,27,38,5.2,27,0,0.56,0.1,0
2/5/2022,30,19,24.5,-8.4,40,0,0,T,0
2/6/2022,31,15,23,-10.1,42,0,0,0,0
2/7/2022,39,30,34.5,1.3,30,0,0.28,T,0
2/8/2022,48,32,40,6.7,25,0,0.12,0,0
2/9/2022,41,24,32.5,-1,32,0,0,0,0
2/10/2022,56,30,43,9.4,22,0,0,0,0
2/11/2022,52,34,43,9.2,22,0,0,0,0
2/12/2022,61,39,50,16,15,0,0,0,0
2/13/2022,43,25,34,-0.1,31,0,0.25,2.8,1
2/14/2022,25,17,21,-13.3,44,0,0,0,3
2/15/2022,30,17,23.5,-11,41,0,0,0,2
2/16/2022,43,22,32.5,-2.2,32,0,0,0,T
2/17/2022,54,41,47.5,12.6,17,0,0.23,0,0
2/18/2022,58,27,42.5,7.5,22,0,0.39,0,0
2/19/2022,42,21,31.5,-3.7,33,0,T,T,0
2/20/2022,34,21,27.5,-7.9,37,0,0,0,0
2/21/2022,48,30,39,3.4,26,0,0,0,0
2/22/2022,53,33,43,7.1,22,0,0.14,0,0
2/23/2022,69,35,52,15.9,13,0,0,0,0
2/24/2022,35,29,32,-4.3,33,0,0,0,0
2/25/2022,45,26,35.5,-1,29,0,0.78,0.3,T
2/26/2022,38,24,31,-5.7,34,0,0,0,0
2/27/2022,48,29,38.5,1.6,26,0,0,0,0
2/28/2022,37,27,32,-5.1,33,0,0,0,0
3/1/2022,45,28,36.5,-0.9,28,0,0,0,0
3/2/2022,52,38,45,7.4,20,0,0,0,0
3/3/2022,45,25,35,-2.8,30,0,0.08,0,0
3/4/2022,36,19,27.5,-10.5,37,0,0,0,0
3/5/2022,45,27,36,-2.3,29,0,0,0,0
3/6/2022,62,44,53,14.5,12,0,0.05,0,0
3/7/2022,61,48,54.5,15.8,10,0,0.06,0,0
3/8/2022,53,37,45,6,20,0,0,0,0
3/9/2022,40,33,36.5,-2.7,28,0,0.61,0.2,0
3/10/2022,50,30,40,0.5,25,0,0,0,0
3/11/2022,50,30,40,0.3,25,0,0,0,0
3/12/2022,46,24,35,-5,30,0,0.5,0.3,0
3/13/2022,35,22,28.5,-11.7,36,0,T,T,0
3/14/2022,55,33,44,3.5,21,0,0,0,0
3/15/2022,58,38,48,7.3,17,0,T,0,0
3/16/2022,62,41,51.5,10.5,13,0,T,0,0
3/17/2022,55,45,50,8.7,15,0,0.06,0,0
3/18/2022,63,46,54.5,13,10,0,0,0,0
3/19/2022,60,46,53,11.2,12,0,0.18,0,0
3/20/2022,62,46,54,11.9,11,0,T,0,0
3/21/2022,63,45,54,11.6,11,0,0,0,0
3/22/2022,60,46,53,10.3,12,0,0,0,0
3/23/2022,47,39,43,0,22,0,0.07,0,0
3/24/2022,47,41,44,0.7,21,0,0.93,0,0
3/25/2022,57,44,50.5,6.9,14,0,0.03,0,0
3/26/2022,54,42,48,4.1,17,0,T,0,0
3/27/2022,47,29,38,-6.2,27,0,T,T,0
3/28/2022,34,23,28.5,-16,36,0,0,0,0
3/29/2022,38,24,31,-13.8,34,0,0,0,0
3/30/2022,44,27,35.5,-9.7,29,0,0,0,0
3/31/2022,57,44,50.5,5,14,0,0.05,0,0
4/1/2022,59,43,51,5.2,14,0,0.08,0,0
4/2/2022,52,39,45.5,-0.7,19,0,0,0,0
4/3/2022,46,38,42,-4.5,23,0,0.1,0,0
4/4/2022,55,39,47,0.2,18,0,0,0,0
4/5/2022,53,38,45.5,-1.7,19,0,0.06,0,0
4/6/2022,54,47,50.5,3,14,0,0.54,0,0
4/7/2022,52,45,48.5,0.6,16,0,0.45,0,0
4/8/2022,63,48,55.5,7.3,9,0,0.04,0,0
4/9/2022,57,47,52,3.4,13,0,0.02,0,0
4/10/2022,52,43,47.5,-1.4,17,0,0,0,0
4/11/2022,56,39,47.5,-1.8,17,0,0,0,0
4/12/2022,72,47,59.5,9.8,5,0,0.02,0,0
4/13/2022,65,46,55.5,5.5,9,0,0,0,0
4/14/2022,70,53,61.5,11.1,3,0,0.08,0,0
4/15/2022,67,46,56.5,5.8,8,0,0.01,0,0
4/16/2022,62,45,53.5,2.4,11,0,0.09,0,0
4/17/2022,52,40,46,-5.4,19,0,0,0,0
4/18/2022,52,37,44.5,-7.3,20,0,0.96,0,0
